name,model,length,starship_class
Executor,Executor-class star dreadnought,19000,Star dreadnought
Sentinel-class landing craft,Sentinel-class landing craft,38,landing craft
Death Star,DS-1 Orbital Battle Station,120000,Deep Space Mobile Battlestation
Millennium Falcon,YT-1300 light freighter,34.37,Light freighter
Y-wing,BTL Y-wing,14,assault starfighter
X-wing,T-65 X-wing,12.5,Starfighter
TIE Advanced x1,Twin Ion Engine Advanced x1,9.2,Starfighter
Slave 1,Firespray-31-class patrol and attack,21.5,Patrol craft
Imperial shuttle,Lambda-class T-4a shuttle,20,Armed government transport
EF76 Nebulon-B escort frigate,EF76 Nebulon-B escort frigate,300,Escort ship
Calamari Cruiser,MC80 Liberty type Star Cruiser,1200,Star Cruiser
A-wing,RZ-1 A-wing Interceptor,9.6,Starfighter
B-wing,A/SF-01 B-wing starfighter,16.9,Assault Starfighter
Republic Cruiser,Consular-class cruiser,115,Space cruiser
Naboo fighter,N-1 starfighter,11,Starfighter
Naboo Royal Starship,J-type 327 Nubian royal starship,76,yacht
Scimitar,Star Courier,26.5,Space Transport
J-type diplomatic barge,J-type diplomatic barge,39,Diplomatic barge
AA-9 Coruscant freighter,Botajef AA-9 Freighter-Liner,390,freighter
Jedi starfighter,Delta-7 Aethersprite-class interceptor,8,Starfighter
H-type Nubian yacht,H-type Nubian yacht,47.9,yacht
Star Destroyer,Imperial I-class Star Destroyer,"1,600",Star Destroyer
Trade Federation cruiser,Providence-class carrier/destroyer,1088,capital ship
Theta-class T-2c shuttle,Theta-class T-2c shuttle,18.5,transport
T-70 X-wing fighter,T-70 X-wing fighter,NA,fighter
Rebel transport,GR-75 medium transport,90,Medium transport
Droid control ship,Lucrehulk-class Droid Control Ship,3170,Droid control ship
Republic Assault ship,Acclamator I-class assault ship,752,assault ship
Solar Sailer,Punworcca 116-class interstellar sloop,15.2,yacht
Republic attack cruiser,Senator-class Star Destroyer,1137,star destroyer
Naboo star skiff,J-type star skiff,29.2,yacht
Jedi Interceptor,Eta-2 Actis-class light interceptor,5.47,starfighter
arc-170,Aggressive Reconnaissance-170 starfighte,14.5,starfighter
Belbullab-22 starfighter,Belbullab-22 starfighter,6.71,starfighter
V-wing,Alpha-3 Nimbus-class V-wing starfighter,7.9,starfighter
CR90 corvette,CR90 corvette,150,corvette
Banking clan frigate,Munificent-class star frigate,825,cruiser
